WeightedDegree,Count
1,21
2,667
3,45
4,512
5,49
6,336
7,38
8,200
9,32
10,137
11,24
12,122
13,21
14,89
15,17
16,68
17,8
18,50
19,14
20,48
21,12
22,40
23,13
24,21
25,11
26,29
27,9
28,26
29,12
30,27
31,4
32,25
33,6
34,17
35,7
36,24
37,6
38,15
39,5
40,13
41,3
42,12
43,6
44,10
45,7
46,8
47,1
48,8
49,5
50,8
51,6
52,10
53,0
54,5
55,3
56,5
57,4
58,12
59,2
60,8
61,3
62,4
63,9
64,7
65,0
66,4
67,3
68,10
69,3
70,7
71,4
72,7
73,3
74,5
75,1
76,7
77,3
78,1
79,7
80,5
81,2
82,0
83,2
84,5
85,5
86,4
87,3
88,4
89,2
90,6
91,6
92,6
93,1
94,6
95,2
96,1
97,4
98,6
99,0
100,1
101,0
102,2
103,2
104,6
105,3
106,2
107,5
108,2
109,1
110,1
111,1
112,2
113,2
114,3
115,0
116,5
117,1
118,4
119,0
120,3
121,1
122,2
123,2
124,0
125,4
126,0
127,1
128,2
129,2
130,2
131,0
132,0
133,2
134,3
135,2
136,3
137,1
138,1
139,0
140,1
141,1
142,2
143,2
144,1
145,2
146,0
147,0
148,2
149,2
150,1
151,1
152,2
153,1
154,1
155,1
156,3
157,0
158,0
159,0
160,3
161,0
162,2
163,2
164,5
165,1
166,1
167,1
168,1
169,1
170,0
171,1
172,1
173,0
174,1
175,1
176,1
177,2
178,1
179,0
180,4
181,1
182,1
183,1
184,4
185,0
186,3
187,0
188,0
189,1
190,0
191,2
192,1
193,0
194,1
195,1
196,1
197,1
198,5
199,3
200,2
201,1
202,1
203,1
204,0
205,1
206,2
207,0
208,0
209,0
210,1
211,1
212,0
213,0
214,2
215,0
216,1
217,0
218,1
219,1
220,2
221,1
222,2
223,2
224,0
225,0
226,1
227,0
228,1
229,0
230,0
231,0
232,1
233,0
234,1
235,0
236,0
237,1
238,0
239,1
240,1
241,1
242,1
243,2
244,0
245,1
246,4
247,0
248,0
249,0
250,1
251,0
252,0
253,1
254,0
255,0
256,1
257,0
258,0
259,1
260,0
261,0
262,1
263,0
264,0
265,1
266,0
267,1
268,0
269,0
270,0
271,1
272,0
273,0
274,2
275,1
276,0
277,1
278,0
279,1
280,2
281,0
282,0
283,1
284,2
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,2
293,0
294,0
295,0
296,2
297,0
298,2
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,1
313,0
314,1
315,0
316,1
317,0
318,2
319,1
320,0
321,1
322,1
323,0
324,1
325,0
326,2
327,1
328,1
329,0
330,0
331,0
332,0
333,1
334,0
335,0
336,1
337,0
338,0
339,2
340,0
341,0
342,0
343,1
344,0
345,0
346,0
347,0
348,0
349,0
350,1
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,1
368,1
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,1
377,1
378,0
379,0
380,0
381,0
382,0
383,0
384,1
385,1
386,0
387,2
388,0
389,0
390,1
391,1
392,0
393,0
394,0
395,0
396,1
397,1
398,0
399,0
400,0
401,1
402,1
403,0
404,0
405,0
406,0
407,0
408,0
409,1
410,1
411,1
412,0
413,0
414,0
415,0
416,1
417,0
418,2
419,0
420,0
421,0
422,0
423,0
424,0
425,1
426,1
427,0
428,1
429,0
430,0
431,0
432,1
433,1
434,0
435,0
436,0
437,0
438,0
439,1
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,1
458,0
459,0
460,0
461,1
462,0
463,0
464,0
465,0
466,0
467,1
468,0
469,0
470,1
471,0
472,0
473,0
474,1
475,0
476,0
477,0
478,0
479,1
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,1
488,1
489,0
490,0
491,1
492,1
493,0
494,0
495,0
496,0
497,0
498,0
499,0
