Degree,Count
53,1
69,1
71,1
83,1
84,1
87,1
90,1
95,1
99,1
101,1
105,1
107,1
112,1
113,1
117,1
119,1
120,1
121,1
122,1
128,1
132,1
134,1
136,1
137,1
140,1
145,1
146,1
148,1
149,1
150,1
152,1
154,1
155,1
157,1
161,1
162,1
164,1
165,1
168,1
170,1
171,1
177,1
178,1
181,1
185,1
188,1
189,1
190,1
192,1
196,1
201,1
207,1
216,1
218,1
219,1
222,1
223,1
230,1
234,1
239,1
241,1
242,1
243,1
246,1
248,1
250,1
252,1
260,1
262,1
266,1
267,1
273,1
275,1
280,1
290,1
294,1
297,1
299,1
314,1
316,1
322,1
326,1
330,1
342,1
370,1
372,1
378,1
380,1
409,1
412,1
433,1
457,1
463,1
470,1
477,1
27,2
48,2
49,2
51,2
54,2
68,2
73,2
77,2
79,2
81,2
86,2
88,2
92,2
93,2
100,2
109,2
110,2
115,2
116,2
118,2
123,2
124,2
125,2
127,2
130,2
131,2
135,2
139,2
147,2
160,2
163,2
166,2
172,2
174,2
176,2
180,2
182,2
184,2
194,2
204,2
205,2
206,2
208,2
269,2
288,2
293,2
337,2
39,3
43,3
55,3
67,3
80,3
85,3
98,3
102,3
111,3
305,3
23,4
31,4
35,4
45,4
57,4
63,4
72,4
89,4
104,4
144,4
156,4
33,5
47,5
59,5
61,5
75,5
78,5
96,5
108,5
37,6
41,6
60,6
94,6
97,6
114,6
21,7
29,7
50,7
56,7
62,7
70,7
74,7
25,8
44,8
58,8
64,8
82,8
32,9
42,9
66,9
76,9
19,12
52,12
15,13
46,13
17,14
13,15
28,15
30,15
34,17
38,17
1,21
9,23
40,23
11,24
26,24
36,25
22,29
24,33
7,39
20,41
16,59
18,60
3,63
5,65
14,77
12,86
10,133
8,197
6,318
4,611
2,867
